article_slug,scenario,outcome_gain_vs_baseline,risk_reduction_vs_baseline,trust_gain_vs_baseline,memory_gain_vs_baseline,interpretation
organizational-burnout-as-a-system-pattern,Capacity and feedback investment,47.659,47.721,70.599,41.522,High leverage
organizational-burnout-as-a-system-pattern,Current structure / baseline,0.0,0.0,0.0,0.0,Low leverage
organizational-burnout-as-a-system-pattern,Delayed reform under rising pressure,24.654,23.499,28.584,13.116,High leverage
organizational-burnout-as-a-system-pattern,Pressure-only intervention,0.0,0.0,0.0,-2.887,Low leverage
organizational-burnout-as-a-system-pattern,Structural redesign and learning,58.407,58.429,96.916,64.92,High leverage
