article_slug,article_title,topic_family,year,scenario,policy_active,shock_event,system_stock_index,capacity_index,trust_index,memory_index,burden_index,equity_gap_index,risk_index,outcome_index,resilience_ratio,regeneration,pressure
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,12,Current structure / baseline,True,False,0.0,44.278,32.678,43.985,44.74,30.075,82.677,20.307,0.0,0.0,16.74
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,13,Current structure / baseline,True,False,0.0,43.637,31.136,43.825,45.726,30.798,83.326,19.741,0.0,0.0,17.785
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,14,Current structure / baseline,True,False,0.0,42.971,29.549,43.64,46.774,31.54,84.002,19.151,0.0,0.0,18.83
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,15,Current structure / baseline,True,False,0.0,42.277,27.916,43.428,47.886,32.302,84.706,18.536,0.0,0.0,19.875
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,16,Current structure / baseline,True,False,0.0,41.553,26.234,43.19,49.06,33.085,85.439,17.896,0.0,0.0,20.92
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,17,Current structure / baseline,True,False,0.0,40.799,24.5,42.926,50.297,33.89,86.202,17.229,0.0,0.0,21.965
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,18,Current structure / baseline,True,False,0.0,40.012,22.713,42.635,51.597,34.719,86.996,16.535,0.0,0.0,23.01
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,19,Current structure / baseline,True,False,0.0,39.191,20.871,42.319,52.959,35.572,87.822,15.813,0.0,0.0,24.055
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,20,Current structure / baseline,True,False,0.0,38.335,18.97,41.977,54.384,36.451,88.68,15.062,0.0,0.0,25.1
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,21,Current structure / baseline,True,False,0.0,37.441,17.008,41.608,55.872,37.357,89.573,14.281,0.0,0.0,26.145
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,22,Current structure / baseline,True,False,0.0,36.508,14.984,41.213,57.422,38.29,90.5,13.47,0.0,0.0,27.19
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,23,Current structure / baseline,True,False,0.0,35.535,12.895,40.792,59.035,39.253,91.462,12.627,0.0,0.0,28.235
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,24,Current structure / baseline,True,False,0.0,34.521,10.738,40.345,60.711,40.246,92.461,11.752,0.0,0.0,29.28
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,25,Current structure / baseline,True,False,0.0,33.462,8.511,39.872,62.449,41.27,93.498,10.843,0.0,0.0,30.325
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,26,Current structure / baseline,True,False,0.0,32.359,6.212,39.373,64.251,42.326,94.573,9.9,0.0,0.0,31.37
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,27,Current structure / baseline,True,False,0.0,31.209,3.838,38.848,66.115,43.416,95.688,8.923,0.0,0.0,32.415
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,28,Current structure / baseline,True,False,0.0,30.011,1.386,38.296,68.041,44.541,96.843,7.909,0.0,0.0,33.46
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,29,Current structure / baseline,True,False,0.0,28.763,0.0,37.718,70.03,45.702,97.811,7.087,0.0,0.0,34.505
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,30,Current structure / baseline,True,False,0.0,27.464,0.0,37.115,72.082,46.899,98.527,6.522,0.0,0.0,35.55
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,0,Pressure-only intervention,False,False,76.446,49.794,48.758,44.874,36.462,22.547,53.585,48.628,0.9556,2.08,4.2
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,1,Pressure-only intervention,False,False,71.705,49.576,47.494,44.717,37.039,23.103,55.44,46.819,0.8963,1.988,5.245
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,2,Pressure-only intervention,False,False,65.74,49.344,46.204,44.528,37.731,23.668,57.689,44.623,0.8217,1.864,6.29
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,3,Pressure-only intervention,False,False,58.513,49.095,44.886,44.308,38.538,24.247,60.342,42.025,0.7314,1.709,7.335
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,4,Pressure-only intervention,True,False,52.063,48.402,43.268,44.262,40.499,24.926,63.032,39.461,0.6508,1.521,8.045
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,5,Pressure-only intervention,True,False,44.307,47.656,41.574,44.191,42.599,25.642,66.162,36.464,0.5538,1.354,9.048
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,6,Pressure-only intervention,True,False,35.203,46.854,39.8,44.094,44.843,26.399,69.748,33.019,0.44,1.152,10.051
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,7,Pressure-only intervention,True,False,24.706,45.992,37.941,43.973,47.237,27.2,73.806,29.111,0.3088,0.915,11.054
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,8,Pressure-only intervention,True,False,12.77,45.066,35.991,43.826,49.787,28.046,78.353,24.723,0.1596,0.642,12.058
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,9,Pressure-only intervention,True,False,0.0,44.073,33.944,43.655,52.499,28.941,83.21,20.035,0.0,0.332,13.061
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,10,Pressure-only intervention,True,True,0.0,43.004,31.79,43.399,55.522,29.89,84.325,19.104,0.0,0.0,16.44
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,11,Pressure-only intervention,True,False,0.0,41.858,29.528,43.177,58.584,30.895,85.483,18.135,0.0,0.0,15.067
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,12,Pressure-only intervention,True,False,0.0,40.631,27.15,42.931,61.829,31.958,86.712,17.108,0.0,0.0,16.07
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,13,Pressure-only intervention,True,False,0.0,39.319,24.65,42.659,65.263,33.082,88.014,16.02,0.0,0.0,17.074
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,14,Pressure-only intervention,True,False,0.0,37.915,22.02,42.362,68.895,34.273,89.394,14.866,0.0,0.0,18.077
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,15,Pressure-only intervention,True,False,0.0,36.416,19.254,42.04,72.733,35.532,90.855,13.644,0.0,0.0,19.08
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,16,Pressure-only intervention,True,False,0.0,34.816,16.344,41.693,76.784,36.864,92.401,12.351,0.0,0.0,20.083
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,17,Pressure-only intervention,True,False,0.0,33.108,13.282,41.321,81.058,38.273,94.036,10.983,0.0,0.0,21.086
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,18,Pressure-only intervention,True,False,0.0,31.288,10.059,40.923,85.562,39.763,95.765,9.537,0.0,0.0,22.09
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,19,Pressure-only intervention,True,False,0.0,29.349,6.667,40.501,90.308,41.339,97.592,8.008,0.0,0.0,23.093
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,20,Pressure-only intervention,True,False,0.0,27.286,3.097,40.054,95.303,43.004,99.522,6.394,0.0,0.0,24.096
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,21,Pressure-only intervention,True,False,0.0,25.105,0.0,39.581,100.0,44.754,100.0,4.857,0.0,0.0,25.099
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,22,Pressure-only intervention,True,False,0.0,22.924,0.0,39.084,100.0,46.504,100.0,4.218,0.0,0.0,26.102
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,23,Pressure-only intervention,True,False,0.0,20.743,0.0,38.561,100.0,48.254,100.0,3.574,0.0,0.0,27.106
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,24,Pressure-only intervention,True,False,0.0,18.562,0.0,38.013,100.0,50.004,100.0,2.926,0.0,0.0,28.109
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,25,Pressure-only intervention,True,False,0.0,16.381,0.0,37.44,100.0,51.754,100.0,2.273,0.0,0.0,29.112
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,26,Pressure-only intervention,True,False,0.0,14.2,0.0,36.842,100.0,53.504,100.0,1.615,0.0,0.0,30.115
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,27,Pressure-only intervention,True,False,0.0,12.019,0.0,36.22,100.0,55.254,100.0,0.953,0.0,0.0,31.118
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,28,Pressure-only intervention,True,False,0.0,9.838,0.0,35.571,100.0,57.004,100.0,0.287,0.0,0.0,32.122
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,29,Pressure-only intervention,True,False,0.0,7.657,0.0,34.898,100.0,58.754,100.0,0.0,0.0,0.0,33.125
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,30,Pressure-only intervention,True,False,0.0,5.476,0.0,34.2,100.0,60.504,100.0,0.0,0.0,0.0,34.128
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,0,Capacity and feedback investment,False,False,76.446,49.794,48.758,44.874,36.462,22.547,53.585,48.628,0.9556,2.08,4.2
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,1,Capacity and feedback investment,False,False,71.705,49.576,47.494,44.717,37.039,23.103,55.44,46.819,0.8963,1.988,5.245
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,2,Capacity and feedback investment,True,False,69.588,50.815,47.587,46.111,27.459,22.947,54.567,47.308,0.8699,2.438,5.032
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,3,Capacity and feedback investment,True,False,66.919,52.231,47.893,47.484,20.42,22.664,54.021,47.56,0.8365,2.366,5.868
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,4,Capacity and feedback investment,True,False,63.599,53.775,48.359,48.837,15.261,22.289,53.788,47.565,0.795,2.275,6.704
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,5,Capacity and feedback investment,True,False,59.547,55.414,48.945,50.168,11.493,21.846,53.865,47.311,0.7443,2.162,7.54
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,6,Capacity and feedback investment,True,False,54.697,57.121,49.621,51.479,8.756,21.353,54.248,46.787,0.6837,2.025,8.376
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,7,Capacity and feedback investment,True,False,48.988,58.878,50.366,52.768,6.78,20.826,54.94,45.981,0.6124,1.86,9.212
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,8,Capacity and feedback investment,True,False,42.368,60.669,51.162,54.037,5.368,20.272,55.943,44.884,0.5296,1.666,10.048
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,9,Capacity and feedback investment,True,False,34.788,62.486,51.998,55.285,4.373,19.701,57.263,43.484,0.4349,1.441,10.884
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,10,Capacity and feedback investment,True,True,24.217,64.317,52.861,56.463,3.806,19.119,59.524,41.157,0.3027,1.183,13.7
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,11,Capacity and feedback investment,True,False,14.51,66.16,53.749,57.669,3.318,18.529,61.521,39.098,0.1814,0.823,12.556
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,12,Capacity and feedback investment,True,False,3.708,68.011,54.657,58.854,3.007,17.933,63.861,36.702,0.0464,0.493,13.392
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,13,Capacity and feedback investment,True,False,0.0,69.866,55.582,60.018,2.827,17.334,64.084,36.427,0.0,0.126,14.228
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,14,Capacity and feedback investment,True,False,0.0,71.723,56.519,61.162,2.744,16.734,63.204,37.258,0.0,0.0,15.064
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,15,Capacity and feedback investment,True,False,0.0,73.581,57.468,62.284,2.732,16.133,62.332,38.083,0.0,0.0,15.9
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,16,Capacity and feedback investment,True,False,0.0,75.438,58.427,63.386,2.774,15.533,61.467,38.903,0.0,0.0,16.736
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,17,Capacity and feedback investment,True,False,0.0,77.292,59.393,64.466,2.855,14.934,60.608,39.718,0.0,0.0,17.572
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,18,Capacity and feedback investment,True,False,0.0,79.144,60.368,65.526,2.965,14.337,59.755,40.529,0.0,0.0,18.408
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,19,Capacity and feedback investment,True,False,0.0,80.993,61.349,66.565,3.097,13.743,58.906,41.334,0.0,0.0,19.244
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,20,Capacity and feedback investment,True,False,0.0,82.838,62.336,67.583,3.245,13.152,58.062,42.136,0.0,0.0,20.08
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,21,Capacity and feedback investment,True,False,0.0,84.679,63.329,68.58,3.404,12.563,57.223,42.933,0.0,0.0,20.916
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,22,Capacity and feedback investment,True,False,0.0,86.515,64.328,69.556,3.572,11.977,56.388,43.726,0.0,0.0,21.752
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,23,Capacity and feedback investment,True,False,0.0,88.348,65.332,70.512,3.747,11.395,55.556,44.514,0.0,0.0,22.588
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,24,Capacity and feedback investment,True,False,0.0,90.176,66.341,71.446,3.926,10.815,54.729,45.299,0.0,0.0,23.424
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,25,Capacity and feedback investment,True,False,0.0,91.999,67.355,72.36,4.109,10.239,53.905,46.079,0.0,0.0,24.26
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,26,Capacity and feedback investment,True,False,0.0,93.817,68.374,73.252,4.294,9.666,53.086,46.856,0.0,0.0,25.096
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,27,Capacity and feedback investment,True,False,0.0,95.631,69.397,74.124,4.482,9.097,52.27,47.628,0.0,0.0,25.932
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,28,Capacity and feedback investment,True,False,0.0,97.441,70.426,74.975,4.671,8.531,51.458,48.396,0.0,0.0,26.768
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,29,Capacity and feedback investment,True,False,0.0,99.245,71.458,75.805,4.86,7.969,50.65,49.16,0.0,0.0,27.604
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,30,Capacity and feedback investment,True,False,0.0,100.0,72.495,76.614,5.051,7.41,50.107,49.69,0.0,0.0,28.44
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,0,Structural redesign and learning,False,False,76.446,49.794,48.758,44.874,36.462,22.547,53.585,48.628,0.9556,2.08,4.2
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,1,Structural redesign and learning,True,False,77.471,52.15,49.686,46.978,20.263,21.862,50.513,51.017,0.9684,3.211,3.252
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,2,Structural redesign and learning,True,False,78.379,54.732,50.896,49.065,11.23,21.014,48.068,53.051,0.9797,3.254,3.9
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,3,Structural redesign and learning,True,False,78.989,57.44,52.273,51.137,6.211,20.076,46.045,54.817,0.9874,3.292,4.548
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,4,Structural redesign and learning,True,False,79.193,60.217,53.749,53.192,3.439,19.087,44.33,56.36,0.9899,3.318,5.196
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,5,Structural redesign and learning,True,False,78.917,63.032,55.289,55.231,1.925,18.072,42.863,57.703,0.9865,3.326,5.844
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,6,Structural redesign and learning,True,False,78.111,65.867,56.871,57.253,1.117,17.042,41.613,58.855,0.9764,3.315,6.491
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,7,Structural redesign and learning,True,False,76.735,68.713,58.484,59.26,0.703,16.005,40.566,59.818,0.9592,3.281,7.139
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,8,Structural redesign and learning,True,False,74.755,71.563,60.122,61.25,0.51,14.964,39.719,60.59,0.9344,3.223,7.787
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,9,Structural redesign and learning,True,False,72.141,74.415,61.78,63.224,0.441,13.922,39.072,61.167,0.9018,3.14,8.435
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,10,Structural redesign and learning,True,True,67.323,77.264,63.455,65.144,0.533,12.882,39.108,61.065,0.8415,3.03,10.617
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,11,Structural redesign and learning,True,False,63.284,80.114,65.148,67.086,0.531,11.841,38.894,61.21,0.7911,2.828,9.731
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,12,Structural redesign and learning,True,False,58.519,82.963,66.859,69.011,0.569,10.801,38.901,61.135,0.7315,2.658,10.379
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,13,Structural redesign and learning,True,False,52.996,85.81,68.586,70.92,0.629,9.763,39.137,60.832,0.6625,2.458,11.027
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,14,Structural redesign and learning,True,False,46.683,88.656,70.331,72.813,0.702,8.725,39.611,60.291,0.5835,2.226,11.675
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,15,Structural redesign and learning,True,False,39.547,91.499,72.091,74.69,0.781,7.689,40.333,59.502,0.4943,1.961,12.322
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,16,Structural redesign and learning,True,False,31.553,94.34,73.868,76.551,0.865,6.655,41.312,58.455,0.3944,1.661,12.97
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,17,Structural redesign and learning,True,False,22.664,97.18,75.66,78.396,0.95,5.622,42.559,57.14,0.2833,1.325,13.618
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,18,Structural redesign and learning,True,False,12.842,100.0,77.469,80.224,1.037,4.591,44.091,55.541,0.1605,0.952,14.266
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,19,Structural redesign and learning,True,False,1.992,100.0,79.294,82.036,1.125,3.561,46.636,53.013,0.0249,0.539,14.914
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,20,Structural redesign and learning,True,False,0.0,100.0,81.134,83.832,1.213,2.533,46.522,53.143,0.0,0.084,15.562
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,21,Structural redesign and learning,True,False,0.0,100.0,82.991,85.612,1.301,1.506,45.811,53.87,0.0,0.0,16.21
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,22,Structural redesign and learning,True,False,0.0,100.0,84.863,87.375,1.389,0.481,45.098,54.598,0.0,0.0,16.858
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,23,Structural redesign and learning,True,False,0.0,100.0,86.751,89.123,1.477,0.0,44.429,55.304,0.0,0.0,17.506
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,24,Structural redesign and learning,True,False,0.0,100.0,88.645,90.854,1.565,0.0,43.799,55.989,0.0,0.0,18.154
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,25,Structural redesign and learning,True,False,0.0,100.0,90.536,92.569,1.654,0.0,43.173,56.67,0.0,0.0,18.802
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,26,Structural redesign and learning,True,False,0.0,100.0,92.425,94.268,1.742,0.0,42.549,57.349,0.0,0.0,19.449
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,27,Structural redesign and learning,True,False,0.0,100.0,94.311,95.95,1.83,0.0,41.928,58.023,0.0,0.0,20.097
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,28,Structural redesign and learning,True,False,0.0,100.0,96.195,97.617,1.919,0.0,41.31,58.695,0.0,0.0,20.745
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,29,Structural redesign and learning,True,False,0.0,100.0,98.075,99.267,2.007,0.0,40.696,59.363,0.0,0.0,21.393
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,30,Structural redesign and learning,True,False,0.0,100.0,99.954,100.0,2.095,0.0,40.219,59.865,0.0,0.0,22.041
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,0,Delayed reform under rising pressure,False,False,76.446,49.794,48.758,44.874,36.462,22.547,53.585,48.628,0.9556,2.08,4.2
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,1,Delayed reform under rising pressure,False,False,71.705,49.576,47.494,44.717,37.039,23.103,55.44,46.819,0.8963,1.988,5.245
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,2,Delayed reform under rising pressure,False,False,65.74,49.344,46.204,44.528,37.731,23.668,57.689,44.623,0.8217,1.864,6.29
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,3,Delayed reform under rising pressure,False,False,58.513,49.095,44.886,44.308,38.538,24.247,60.342,42.025,0.7314,1.709,7.335
