article_slug,article_title,topic_family,year,scenario,policy_active,shock_event,system_stock_index,capacity_index,trust_index,memory_index,burden_index,equity_gap_index,risk_index,outcome_index,resilience_ratio,regeneration,pressure
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,0,Current structure / baseline,False,False,76.446,49.794,48.758,44.874,36.462,22.547,53.585,48.628,0.9556,2.08,4.2
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,1,Current structure / baseline,False,False,71.705,49.576,47.494,44.717,37.039,23.103,55.44,46.819,0.8963,1.988,5.245
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,2,Current structure / baseline,False,False,65.74,49.344,46.204,44.528,37.731,23.668,57.689,44.623,0.8217,1.864,6.29
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,3,Current structure / baseline,False,False,58.513,49.095,44.886,44.308,38.538,24.247,60.342,42.025,0.7314,1.709,7.335
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,4,Current structure / baseline,True,False,50.904,48.624,43.652,44.383,38.959,24.848,63.069,39.356,0.6363,1.521,8.38
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,5,Current structure / baseline,True,False,41.999,48.141,42.392,44.433,39.444,25.458,66.203,36.282,0.525,1.324,9.425
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,6,Current structure / baseline,True,False,31.762,47.644,41.105,44.456,39.991,26.078,69.756,32.791,0.397,1.092,10.47
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,7,Current structure / baseline,True,False,20.153,47.132,39.789,44.453,40.601,26.708,73.742,28.87,0.2519,0.826,11.515
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,8,Current structure / baseline,True,False,7.135,46.604,38.441,44.424,41.274,27.351,78.172,24.507,0.0892,0.524,12.56
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,9,Current structure / baseline,True,False,0.0,46.056,37.059,44.369,42.009,28.008,80.86,21.89,0.0,0.186,13.605
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,10,Current structure / baseline,True,True,0.0,45.485,35.637,44.226,42.955,28.681,81.457,21.37,0.0,0.0,17.125
systems-thinking-patterns-interdependence-structural-change,Systems Thinking Patterns Interdependence Structural Change,foundations,11,Current structure / baseline,True,False,0.0,44.893,34.178,44.119,43.816,29.369,82.055,20.85,0.0,0.0,15.695
